396,8653
397,8653
397,8652
397,8651
397,8650
397,8649
397,8648
397,8647
397,8646
397,8645
398,8645
398,8644
398,8643
398,8642
398,8641
398,8640
398,8639
398,8638
398,8637
398,8636
399,8636
399,8635
399,8634
399,8633
399,8632
399,8631
399,8630
399,8629
399,8628
400,8627
400,8626
400,8625
400,8624
400,8623
400,8622
400,8621
400,8620
401,8619
401,8618
401,8617
401,8616
401,8615
401,8614
401,8613
401,8612
401,8611
402,8610
402,8609
402,8608
402,8607
402,8606
402,8605
402,8604
402,8603
402,8602
403,8601
403,8600
403,8599
403,8598
403,8597
403,8596
403,8595
403,8594
403,8593
404,8593
404,8592
404,8591
404,8590
404,8589
404,8588
404,8587
404,8586
404,8585
405,8584
405,8583
405,8582
405,8581
405,8580
405,8579
405,8578
405,8577
405,8576
406,8575
406,8574
406,8572
406,8571
406,8570
406,8569
406,8567
407,8566
407,8565
407,8564
407,8563
407,8562
407,8561
407,8559
407,8558
407,8557
408,8556
408,8555
408,8554
408,8553
408,8552
408,8550
408,8549
408,8548
409,8547
409,8546
409,8544
409,8543
409,8542
409,8541
409,8540
409,8539
409,8538
410,8537
410,8536
410,8535
410,8534
410,8533
410,8532
410,8531
410,8530
410,8529
411,8529
411,8527
411,8525
411,8524
411,8523
411,8522
411,8521
411,8520
411,8519
412,8518
412,8517
412,8515
412,8514
412,8513
412,8512
412,8511
412,8510
412,8509
413,8507
413,8505
413,8504
413,8503
413,8502
413,8501
413,8500
414,8498
414,8497
414,8496
414,8495
414,8493
414,8491
414,8490
415,8488
415,8487
415,8486
415,8485
415,8484
415,8482
415,8481
415,8480
416,8479
416,8477
416,8476
416,8475
416,8474
416,8472
416,8471
416,8469
417,8468
417,8467
417,8466
417,8464
417,8463
417,8461
417,8460
418,8458
418,8456
418,8455
418,8453
418,8452
418,8450
419,8448
419,8446
419,8445
419,8443
419,8442
419,8440
419,8439
420,8437
420,8436
420,8434
420,8432
420,8430
420,8429
421,8428
421,8426
421,8424
421,8423
421,8421
421,8420
422,8418
422,8417
422,8415
422,8414
422,8411
422,8410
423,8408
423,8407
423,8405
423,8403
423,8401
423,8400
424,8398
424,8396
424,8394
424,8393
424,8391
425,8389
425,8387
425,8386
425,8384
425,8382
426,8380
426,8379
426,8377
426,8376
426,8373
426,8372
427,8370
427,8369
427,8366
427,8365
427,8363
428,8362
428,8359
428,8358
428,8356
428,8355
428,8352
429,8351
429,8349
429,8347
429,8345
429,8344
430,8342
430,8340
430,8338
430,8337
430,8334
430,8333
431,8331
431,8330
431,8327
431,8326
431,8323
431,8322
432,8320
432,8318
432,8316
432,8315
432,8312
433,8310
433,8309
433,8306
433,8305
434,8302
434,8301
434,8299
434,8297
434,8295
434,8294
435,8291
435,8290
435,8287
435,8286
435,8283
436,8282
436,8280
436,8278
436,8276
436,8274
437,8272
437,8271
437,8268
437,8267
437,8264
438,8263
438,8260
438,8259
438,8257
438,8255
439,8253
439,8251
439,8249
439,8248
439,8245
439,8244
440,8241
440,8240
440,8237
440,8236
440,8233
441,8232
441,8229
441,8228
441,8226
441,8224
442,8222
442,8221
442,8218
442,8217
442,8215
442,8213
443,8211
443,8210
443,8207
443,8206
443,8204
444,8202
444,8200
444,8199
444,8196
444,8195
